2020-03-03 10:47:54.988 [main] WARN  com.ctrip.framework.apollo.core.utils.ResourceUtils - No available properties: apollo-env.properties
2020-03-03 10:48:09.538 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.Wordbook.
2020-03-03 10:48:09.572 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.ServiceWordbookGroup.
2020-03-03 10:48:09.694 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenu.
2020-03-03 10:48:09.730 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenuPermission.
2020-03-03 10:48:09.869 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
2020-03-03 10:48:09.942 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysUser.
2020-03-03 10:48:15.227 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver - Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2020-03-03 10:50:35.284 [main] WARN  com.ctrip.framework.apollo.core.utils.ResourceUtils - No available properties: apollo-env.properties
2020-03-03 10:50:50.187 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.Wordbook.
2020-03-03 10:50:50.237 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.ServiceWordbookGroup.
2020-03-03 10:50:50.387 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenu.
2020-03-03 10:50:50.427 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenuPermission.
2020-03-03 10:50:50.606 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
2020-03-03 10:50:50.718 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysUser.
2020-03-03 10:50:55.956 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver - Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2020-03-03 10:52:03.578 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.Wordbook.
2020-03-03 10:52:03.613 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.ServiceWordbookGroup.
2020-03-03 10:52:03.704 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenu.
2020-03-03 10:52:03.737 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenuPermission.
2020-03-03 10:52:03.867 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
2020-03-03 10:52:03.936 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysUser.
2020-03-03 10:52:08.822 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver - Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2020-03-03 10:53:35.843 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.Wordbook.
2020-03-03 10:53:35.876 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.ServiceWordbookGroup.
2020-03-03 10:53:35.963 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenu.
2020-03-03 10:53:35.994 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenuPermission.
2020-03-03 10:53:36.124 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
2020-03-03 10:53:36.193 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysUser.
2020-03-03 10:53:40.848 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver - Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2020-03-03 11:15:28.997 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.Wordbook.
2020-03-03 11:15:29.031 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.ServiceWordbookGroup.
2020-03-03 11:15:29.139 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenu.
2020-03-03 11:15:29.189 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenuPermission.
2020-03-03 11:15:29.317 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
2020-03-03 11:15:29.386 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysUser.
2020-03-03 11:15:35.359 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver - Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2020-03-03 11:26:05.865 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.Wordbook.
2020-03-03 11:26:06.016 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.ServiceWordbookGroup.
2020-03-03 11:26:06.457 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenu.
2020-03-03 11:26:06.620 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenuPermission.
2020-03-03 11:26:07.165 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
2020-03-03 11:26:07.357 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysUser.
2020-03-03 11:26:12.436 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver - Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2020-03-03 11:29:13.985 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.Wordbook.
2020-03-03 11:29:14.017 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.ServiceWordbookGroup.
2020-03-03 11:29:14.110 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenu.
2020-03-03 11:29:14.143 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenuPermission.
2020-03-03 11:29:14.270 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
2020-03-03 11:29:14.341 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysUser.
2020-03-03 11:29:22.759 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver - Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2020-03-03 11:30:13.663 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.Wordbook.
2020-03-03 11:30:13.696 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.ServiceWordbookGroup.
2020-03-03 11:30:13.786 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenu.
2020-03-03 11:30:13.818 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenuPermission.
2020-03-03 11:30:13.942 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
